ProdID,Discontinued,ProductID,ProductName,SupplierID,SupplierID2,CategoryID,UM,QuantityPerUnit,QUM,ChargeConvertInd,ReorderLevel,ReorderInd,ReOrderDate,Qty_OnHand,Qty_Commit,Qty_OnOrder,Transport_Time,TaxableItem,EffBegDte,EffEndDte,UPC,PPic,uc,uc_date,updated,created,Notes
318,FALSE,40105,Avocado 48 Count,COABRO,FCBLOX,F,EA,CS,48,,0,P,10/29/2015,16519,4476,5424,0,0,1/1/1990,,,,$0.97 ,6/30/2009,4/15/2011,11/23/1999
319,FALSE,40106,Avocado 50 Count,FCBLOX,CHAPRO,F,EA,CS,50,,0,P,,-12,0,6,0,0,1/1/1990,,,,$0.48 ,12/17/2002,4/15/2011,11/23/1999
320,FALSE,40109,Avocado Green,CHAPRO,ROSELL,F,EA,CS,48,,0,P,9/29/2012,-8928,-280,-1282,0,0,1/1/1990,,,,$0.83 ,3/30/2015,11/9/2011,11/23/1999
321,FALSE,40110,Avocado 60 Count,FCBLOX,COABRO,F,EA,CS,60,,0,P,10/20/2016,-11699,13281,9110,0,0,1/1/1990,,,,$0.51 ,3/17/2016,4/15/2011,11/23/1999
323,FALSE,40113,Avocado 32 Ct Green,FSI,CHAPRO,F,EA,CS,32,,0,P,6/10/2016,-915,443,1856,0,0,1/1/1990,,,,$0.88 ,2/5/2016,2/24/2012,11/23/1999
683,FALSE,40107,Avocado 70 Count,FCBLOX,CHAPRO,V,EA,CS,70,,0,P,10/22/2016,145,234,-350,0,0,1/1/1990,,,,$42.00 ,8/10/2000,10/22/2016,6/14/2000
845,FALSE,40108,Avocado Chilean,CHAPRO,,P,EA,CS,60,EA,0,P,2/5/2007,-17,360,0,0,0,1/1/1990,,,,$0.60 ,1/11/2003,9/24/2009,11/13/2002
888,FALSE,40104,Avocado 1 Layer 24 Ct,CHAPRO,,F,EA,CS,24,,0,P,11/5/2016,-2011011,-24154,1143343,0,0,1/1/1990,,,,$1.09 ,3/26/2014,6/18/2015,6/12/2003
908,FALSE,40103,Avocado 24 Ct Index,FCBLOX,,F,EA,CS,24,,0,P,11/5/2008,-23046,-27960,-3184,0,0,1/1/1990,,,,$1.17 ,7/21/2008,4/15/2011,9/16/2003
1138,FALSE,40102,Avocado  Hass  Ripe 32 Count,CHAPRO,,P,EA,CS,32,,0,P,3/17/2016,669,1376,1299,0,0,1/1/1990,,,,$0.00 ,,4/15/2011,2/18/2010
1149,FALSE,40194,Avocado 70  Count,COABRO,,F,EA,CS,70,,0,P,10/26/2016,467,350,0,0,0,1/1/1990,,,,$0.00 ,,10/11/2010,10/11/2010
1192,FALSE,40098,Avocado - 30 Count 1 Layer,FCBLOX,,P,EA,CS,30,,0,P,7/13/2013,1097,1104,1290,0,0,1/1/1990,,,,$0.71 ,7/18/2013,6/8/2013,5/18/2013
